Time,Flux,Max_Particle_Vel,Max_K,Max_Eps
2.399999999999898881e-01,0.000000000000000000e+00,3.222735563368163136e-01,1.158193352948267280e-01,8.175599667179944685e-01
2.499999999999887867e-01,0.000000000000000000e+00,3.261534569745031531e-01,1.181863820056770625e-01,8.199751236855680192e-01
2.599999999999876854e-01,0.000000000000000000e+00,2.519939559994046618e-01,1.166505117885167225e-01,8.222926036528868110e-01
2.699999999999865841e-01,0.000000000000000000e+00,2.451614660353582942e-01,1.147457010414258682e-01,8.240916128444405464e-01
2.799999999999854827e-01,0.000000000000000000e+00,2.756070922933278600e-01,1.142327051401546278e-01,8.252196700599701007e-01
2.899999999999843814e-01,0.000000000000000000e+00,1.950122991877857870e-01,1.145359820575679310e-01,8.259184203862239837e-01
2.999999999999832800e-01,0.000000000000000000e+00,2.504225450383847917e-01,1.148280227357286187e-01,9.411756588242421451e-01
3.099999999999821787e-01,0.000000000000000000e+00,2.351545739434032223e-01,1.147638287889510139e-01,1.115921437470814181e+00
3.199999999999810774e-01,0.000000000000000000e+00,1.823953045067320811e-01,1.130882739745626975e-01,1.322232097047125521e+00
3.299999999999799760e-01,0.000000000000000000e+00,2.398585228035011452e-01,1.108048634239267027e-01,1.523546031922383692e+00
3.399999999999788747e-01,0.000000000000000000e+00,2.838055624912201313e-01,1.081198439320067151e-01,1.533457375182762261e+00
3.499999999999777733e-01,0.000000000000000000e+00,2.165114561365064916e-01,1.052736279796574470e-01,1.338058988015528250e+00
3.599999999999766720e-01,0.000000000000000000e+00,2.224594241129846384e-01,1.035077416622609409e-01,1.049669929513226574e+00
3.699999999999755707e-01,0.000000000000000000e+00,3.056205722820600212e-01,1.050883547302425280e-01,8.478814465060322547e-01
3.799999999999744693e-01,0.000000000000000000e+00,2.990677468377572201e-01,1.062764559925646474e-01,8.529711578573569986e-01
3.899999999999733680e-01,0.000000000000000000e+00,2.003310922913320857e-01,1.071292684827718916e-01,8.580492605453566846e-01
3.999999999999722666e-01,0.000000000000000000e+00,1.623186449850582136e-01,1.079714221471745894e-01,8.628158853866236822e-01
4.099999999999711653e-01,0.000000000000000000e+00,1.932476153988376411e-01,1.090785108974642315e-01,8.670473671218542622e-01
4.199999999999700639e-01,0.000000000000000000e+00,2.488576338751196659e-01,1.079617074804502946e-01,8.705834862450915201e-01
4.299999999999689626e-01,0.000000000000000000e+00,2.581803218799375021e-01,1.079012331093999189e-01,8.734271086849384469e-01
4.399999999999678613e-01,0.000000000000000000e+00,3.037065041504466989e-01,1.089751399754476935e-01,8.756644023608063376e-01
4.499999999999667599e-01,0.000000000000000000e+00,1.932096771049227890e-01,1.092779065647092873e-01,8.772558809189661133e-01
4.599999999999656586e-01,0.000000000000000000e+00,1.844428329370290109e-01,1.076508467404439368e-01,8.784142510639016965e-01
4.699999999999645572e-01,0.000000000000000000e+00,2.067023245884281324e-01,1.086194956684941593e-01,8.792680796596799020e-01
