Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
2.599999999999876854e-01,0.000000000000000000e+00,3.876924536087567041e-01,3.750000000000035423e-03,1.000000000000000000e+03
2.699999999999865841e-01,0.000000000000000000e+00,1.855168280228454425e-01,3.750000000000034556e-03,1.000000000000000000e+03
2.799999999999854827e-01,0.000000000000000000e+00,2.030466017248315214e-01,3.750000000000032821e-03,1.000000000000000000e+03
2.899999999999843814e-01,0.000000000000000000e+00,2.181806760373286858e-01,3.750000000000034122e-03,1.000000000000000000e+03
2.999999999999832800e-01,0.000000000000000000e+00,2.422570239542212456e-01,3.750000000000035857e-03,1.000000000000000000e+03
3.099999999999821787e-01,0.000000000000000000e+00,3.036713421402538193e-01,3.750000000000033688e-03,1.000000000000000000e+03
3.199999999999810774e-01,0.000000000000000000e+00,3.034164759106979248e-01,3.750000000000034122e-03,1.000000000000000000e+03
3.299999999999799760e-01,0.000000000000000000e+00,2.070247901282177005e-01,3.750000000000033688e-03,1.000000000000000000e+03
3.399999999999788747e-01,0.000000000000000000e+00,1.819099377435258735e-01,3.750000000000032387e-03,1.000000000000000000e+03
3.499999999999777733e-01,0.000000000000000000e+00,2.242709808979923836e-01,3.750000000000033255e-03,1.000000000000000000e+03
3.599999999999766720e-01,0.000000000000000000e+00,2.438011837403732951e-01,3.750000000000035857e-03,1.000000000000000000e+03
3.699999999999755707e-01,0.000000000000000000e+00,2.392216216309638877e-01,3.750000000000032821e-03,1.000000000000000000e+03
3.799999999999744693e-01,0.000000000000000000e+00,2.045766347650076478e-01,3.750000000000035423e-03,1.000000000000000000e+03
3.899999999999733680e-01,0.000000000000000000e+00,2.658518424368633282e-01,3.750000000000040194e-03,1.000000000000000000e+03
3.999999999999722666e-01,0.000000000000000000e+00,2.495223400760071264e-01,3.750000000000041061e-03,1.000000000000000000e+03
4.099999999999711653e-01,0.000000000000000000e+00,2.743665082014297152e-01,3.750000000000039760e-03,1.000000000000000000e+03
4.199999999999700639e-01,0.000000000000000000e+00,2.495921365210314324e-01,3.750000000000040627e-03,1.000000000000000000e+03
4.299999999999689626e-01,0.000000000000000000e+00,2.589369726712813513e-01,3.750000000000044964e-03,1.000000000000000000e+03
