time,y,vy,ay
3.499999999999997904e-03,1.023515308901260801e-01,-2.610741236936505588e-02,-6.740854233386776251e+00
3.599999999999997733e-03,1.023488865603332520e-01,-2.677918348729194098e-02,-6.717711179268859745e+00
3.699999999999997562e-03,1.023461751687333582e-01,-2.744864851064610090e-02,-6.694650233541613815e+00
3.799999999999997390e-03,1.023433969455084386e-01,-2.811581598787186997e-02,-6.671674772257695452e+00
3.899999999999997219e-03,1.023405521199949181e-01,-2.878069428243516109e-02,-6.648782945632911279e+00
3.999999999999997481e-03,1.023376409207151505e-01,-2.944329131299194477e-02,-6.625970305567840946e+00
4.099999999999997743e-03,1.023346635754213974e-01,-3.010361456218182269e-02,-6.603232491898775258e+00
4.199999999999998006e-03,1.023316203111313966e-01,-3.076167123790089775e-02,-6.580566757190748461e+00
4.299999999999998268e-03,1.023285113541467922e-01,-3.141746845430932328e-02,-6.557972164084224787e+00
4.399999999999998530e-03,1.023253369300566179e-01,-3.207101334909201462e-02,-6.535448947826889565e+00
4.499999999999998793e-03,1.023220972637332860e-01,-3.272231311753138333e-02,-6.512997684393684317e+00
4.599999999999999055e-03,1.023187925793279940e-01,-3.337137498825139270e-02,-6.490618707200061621e+00
4.699999999999999317e-03,1.023154231002696146e-01,-3.401820617937857671e-02,-6.468311911271868553e+00
4.799999999999999580e-03,1.023119890492674156e-01,-3.466281386473679671e-02,-6.446076853582178856e+00
4.899999999999999842e-03,1.023084906483160972e-01,-3.530520516176556545e-02,-6.423912970287659618e+00
5.000000000000000104e-03,1.023049281187011217e-01,-3.594538713786187001e-02,-6.401819760963022965e+00
5.100000000000000366e-03,1.023013016810029735e-01,-3.658336682502517923e-02,-6.379796871633058863e+00
5.200000000000000629e-03,1.022976115551000598e-01,-3.721915123337381920e-02,-6.357844083486382303e+00
5.300000000000000891e-03,1.022938579601704590e-01,-3.785274735864761764e-02,-6.335961252737967619e+00
5.400000000000001153e-03,1.022900411146933503e-01,-3.848416218350354107e-02,-6.314148248559209975e+00
5.500000000000001416e-03,1.022861612364504152e-01,-3.911340267512467689e-02,-6.292404916211338239e+00
5.600000000000001678e-03,1.022822185425275587e-01,-3.974047578208567133e-02,-6.270731069609938757e+00
5.700000000000001940e-03,1.022782132493168378e-01,-4.036538843237962026e-02,-6.249126502939479799e+00
5.800000000000002202e-03,1.022741455725185572e-01,-4.098814753311302850e-02,-6.227591007334106976e+00
5.900000000000002465e-03,1.022700157271433374e-01,-4.160875997138654969e-02,-6.206124382735194622e+00
6.000000000000002727e-03,1.022658239275120312e-01,-4.222723265485783112e-02,-6.184726834712827248e+00
6.100000000000002989e-03,1.022615703872563481e-01,-4.284357245869024888e-02,-6.163398038324162442e+00
6.200000000000003252e-03,1.022572553193237532e-01,-4.345778619324358605e-02,-6.142137345533404513e+00
6.300000000000003514e-03,1.022528789359809648e-01,-4.406988066264975329e-02,-6.120944694061671854e+00
6.400000000000003776e-03,1.022484414488148002e-01,-4.467986266063653927e-02,-6.099819979867889153e+00
6.500000000000004038e-03,1.022439430687334533e-01,-4.528773896618402267e-02,-6.078763055474820654e+00
6.600000000000004301e-03,1.022393840059680620e-01,-4.589351634177064182e-02,-6.057773755866183940e+00
6.700000000000004563e-03,1.022347644700743324e-01,-4.649720153280850060e-02,-6.036851910378612907e+00
6.800000000000004825e-03,1.022300846699343152e-01,-4.709880126746569112e-02,-6.015997346571872129e+00
6.900000000000005088e-03,1.022253448137581122e-01,-4.769832225658501151e-02,-5.995209891193206353e+00
7.000000000000005350e-03,1.022205451090855977e-01,-4.829577119362781640e-02,-5.974489370428020862e+00
7.100000000000005612e-03,1.022156857627881804e-01,-4.889115475463674809e-02,-5.953835610089309505e+00
7.200000000000005874e-03,1.022107669810705388e-01,-4.948447959821977021e-02,-5.933248435830214440e+00
7.300000000000006137e-03,1.022057889694723554e-01,-5.007575236555236037e-02,-5.912727673325905542e+00
7.400000000000006399e-03,1.022007519328700514e-01,-5.066497968039045119e-02,-5.892273148380936298e+00
7.500000000000006661e-03,1.021956560754785776e-01,-5.125216814908634122e-02,-5.871884686958934729e+00
7.600000000000006924e-03,1.021905016008530925e-01,-5.183732436060251719e-02,-5.851562115161786259e+00
7.700000000000007186e-03,1.021852887118907399e-01,-5.242045488652183338e-02,-5.831305259193171331e+00
7.800000000000007448e-03,1.021800176108323549e-01,-5.300156628105496398e-02,-5.811113945331330299e+00
7.900000000000007710e-03,1.021746884992642546e-01,-5.358066508104696035e-02,-5.790987999919966711e+00
8.000000000000007105e-03,1.021693015781199032e-01,-5.415775780598440503e-02,-5.770927249374473433e+00
8.100000000000006500e-03,1.021638570476817026e-01,-5.473285095800387717e-02,-5.750931520194725088e+00
8.200000000000005895e-03,1.021583551075827129e-01,-5.530595102190154211e-02,-5.731000638976646577e+00
8.300000000000005290e-03,1.021527959568083593e-01,-5.587706446514346253e-02,-5.711134432419175511e+00
8.400000000000004685e-03,1.021471797936982090e-01,-5.644619773787611094e-02,-5.691332727326471108e+00
