time,y,vy,ay
1.900000000000000647e-03,1.023845286001964366e-01,-1.503806626464002441e-02,-7.127482453449912825e+00
2.000000000000000475e-03,1.023829892935487623e-01,-1.574806668878875673e-02,-7.100004241487325451e+00
2.100000000000000304e-03,1.023813791160732289e-01,-1.645548282176746702e-02,-7.074161329787113317e+00
2.200000000000000133e-03,1.023796983198867472e-01,-1.716044090795072752e-02,-7.049580861832605905e+00
2.299999999999999961e-03,1.023779471477325315e-01,-1.786300217632932896e-02,-7.025612683785997348e+00
2.399999999999999790e-03,1.023761258388964507e-01,-1.856317454523390836e-02,-7.001723689045801002e+00
2.499999999999999618e-03,1.023742346331055902e-01,-1.926094127204194817e-02,-6.977667268080401719e+00
2.599999999999999447e-03,1.023722737717090853e-01,-1.995628665803070648e-02,-6.953453859887585686e+00
2.699999999999999276e-03,1.023702434969241404e-01,-2.064920904088561951e-02,-6.929223828549115893e+00
2.799999999999999104e-03,1.023681440504124601e-01,-2.133972119277288693e-02,-6.905121518872686437e+00
2.899999999999998933e-03,1.023659756721689434e-01,-2.202784367746500951e-02,-6.881224846921241145e+00
2.999999999999998761e-03,1.023637386001195887e-01,-2.271359730957495104e-02,-6.857536321099409804e+00
3.099999999999998590e-03,1.023614330703290498e-01,-2.339699850113547558e-02,-6.834011915605243459e+00
3.199999999999998419e-03,1.023590593174884406e-01,-2.407805831112373035e-02,-6.810598099882542833e+00
3.299999999999998247e-03,1.023566175753710256e-01,-2.475678403726601709e-02,-6.787257261422868559e+00
3.399999999999998076e-03,1.023541080770910411e-01,-2.543318156228970353e-02,-6.763975250236862635e+00
3.499999999999997904e-03,1.023515310551565971e-01,-2.610725712652648897e-02,-6.740755642367862066e+00
3.599999999999997733e-03,1.023488867413983316e-01,-2.677901803865211094e-02,-6.717609121256236548e+00
3.699999999999997562e-03,1.023461753668709756e-01,-2.744847250849533418e-02,-6.694544698432219221e+00
3.799999999999997390e-03,1.023433971617913746e-01,-2.811562908357787688e-02,-6.671565750825440233e+00
3.899999999999997219e-03,1.023405523555308699e-01,-2.878049612652476205e-02,-6.648670429468857002e+00
