Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
2.099999999999931921e-01,0.000000000000000000e+00,2.963059375993574718e-01,5.363290005713999137e-02,1.027708372760325375e+02
2.199999999999920908e-01,0.000000000000000000e+00,3.423901578705533244e-01,5.413813429754940620e-02,1.030314358440432301e+02
2.299999999999909894e-01,0.000000000000000000e+00,4.450994942295960488e-01,5.442127534537559430e-02,1.031962793910285257e+02
2.399999999999898881e-01,0.000000000000000000e+00,3.868692058743404827e-01,5.462446569996361884e-02,1.032842595075463237e+02
2.499999999999887867e-01,0.000000000000000000e+00,3.804471189157377919e-01,5.473193204948088864e-02,1.032894665032018082e+02
2.599999999999876854e-01,0.000000000000000000e+00,4.724811764778071299e-01,5.479323647286566540e-02,1.032259780614665772e+02
2.699999999999865841e-01,0.000000000000000000e+00,2.610345049742056611e-01,5.653149946689511873e-02,1.031024157891685462e+02
2.799999999999854827e-01,0.000000000000000000e+00,2.708596539738020170e-01,5.975452898141772606e-02,1.029274563500457305e+02
2.899999999999843814e-01,0.000000000000000000e+00,4.471252935159166220e-01,6.974520473288009503e-02,1.027057750361681485e+02
2.999999999999832800e-01,0.000000000000000000e+00,3.890459002509781272e-01,8.600365682961780278e-02,1.024389462466204606e+02
3.099999999999821787e-01,0.000000000000000000e+00,4.405159433552428561e-01,1.064824011783239849e-01,1.060807873749307504e+02
3.199999999999810774e-01,0.000000000000000000e+00,5.137311039767589183e-01,1.317816051475839412e-01,1.121330719376991283e+02
3.299999999999799760e-01,0.000000000000000000e+00,5.156365207320681154e-01,1.602652754142898650e-01,1.180348123702630545e+02
3.399999999999788747e-01,0.000000000000000000e+00,5.574212522140038484e-01,1.833960392378369275e-01,1.216131615061880353e+02
3.499999999999777733e-01,0.000000000000000000e+00,5.259096061723500526e-01,1.882855386503406447e-01,1.202684437381759182e+02
3.599999999999766720e-01,0.000000000000000000e+00,4.594162430866772229e-01,1.783490608169094049e-01,1.152061330598921529e+02
3.699999999999755707e-01,0.000000000000000000e+00,4.279701442683177537e-01,1.605542150182468486e-01,1.081317882433654631e+02
3.799999999999744693e-01,0.000000000000000000e+00,3.934964565015385829e-01,1.426115844306795055e-01,1.010169859980564695e+02
3.899999999999733680e-01,0.000000000000000000e+00,2.394065217334383489e-01,1.277716142867142135e-01,9.746254567686473536e+01
3.999999999999722666e-01,0.000000000000000000e+00,3.089863269918955990e-01,1.160481203559481783e-01,9.662911834718494219e+01
4.099999999999711653e-01,0.000000000000000000e+00,4.239755165043627705e-01,1.071572601714088080e-01,9.574754625716389000e+01
4.199999999999700639e-01,0.000000000000000000e+00,2.092839643723142518e-01,1.008106345143257865e-01,9.481704139036159518e+01
4.299999999999689626e-01,0.000000000000000000e+00,2.110178556336133326e-01,1.024505839357658377e-01,9.384859106804429985e+01
4.399999999999678613e-01,0.000000000000000000e+00,3.551201650943623389e-01,1.046633651896808626e-01,9.288894875866104428e+01
4.499999999999667599e-01,0.000000000000000000e+00,2.942738005080979824e-01,1.065812976511433668e-01,9.190385905975465164e+01
4.599999999999656586e-01,0.000000000000000000e+00,1.904174851942913860e-01,1.082170687554731142e-01,9.089761019838861955e+01
4.699999999999645572e-01,0.000000000000000000e+00,2.627854918732384082e-01,1.095920959078187373e-01,8.987633242321192029e+01
4.799999999999634559e-01,0.000000000000000000e+00,3.990857467918150769e-01,1.107319693736889127e-01,9.388824104385508917e+01
4.899999999999623546e-01,0.000000000000000000e+00,2.901527461839333855e-01,1.124500005727124552e-01,9.818242805064626566e+01
4.999999999999612532e-01,0.000000000000000000e+00,3.128232816230624436e-01,1.153545233296211364e-01,1.022882695693199082e+02
5.099999999999601519e-01,0.000000000000000000e+00,4.713500896082228886e-01,1.186636109749316381e-01,1.070118201132727336e+02
5.199999999999590505e-01,0.000000000000000000e+00,3.132002400060039937e-01,1.223408699565798202e-01,1.122976554694695324e+02
5.299999999999579492e-01,0.000000000000000000e+00,4.227569287566680933e-01,1.264100173363191804e-01,1.175028126604591137e+02
5.399999999999568479e-01,0.000000000000000000e+00,4.390515263987235239e-01,1.325600812270168460e-01,1.226285192734056153e+02
5.499999999999557465e-01,0.000000000000000000e+00,4.256713654905738276e-01,1.403922319200145985e-01,1.277068819393194588e+02
5.599999999999546452e-01,0.000000000000000000e+00,5.041163030585179561e-01,1.483338556730795788e-01,1.326939557881419489e+02
5.699999999999535438e-01,0.000000000000000000e+00,4.430991834174952126e-01,1.570616794314706743e-01,1.376437178986471395e+02
5.799999999999524425e-01,0.000000000000000000e+00,5.136415388067069321e-01,1.664882826734593591e-01,1.431259191394317440e+02
5.899999999999513411e-01,0.000000000000000000e+00,4.528970325947051512e-01,1.760619450645455886e-01,1.497755337443580004e+02
5.999999999999502398e-01,0.000000000000000000e+00,5.220061457935730731e-01,1.855339810807015433e-01,1.563234099518519145e+02
6.099999999999491385e-01,0.000000000000000000e+00,2.909959250645978712e-01,1.949243659279079610e-01,1.628488915472379119e+02
6.199999999999480371e-01,0.000000000000000000e+00,3.884131456943988314e-01,2.045051367931596253e-01,1.698105398131770585e+02
6.299999999999469358e-01,0.000000000000000000e+00,4.539287655208968930e-01,2.140728516072570864e-01,1.764504123565417331e+02
6.399999999999458344e-01,0.000000000000000000e+00,2.187338684704918101e-01,2.283087000085786411e-01,1.826609441407626093e+02
6.499999999999447331e-01,0.000000000000000000e+00,3.326005661099916133e-01,2.451445785123566035e-01,1.886244449681983326e+02
6.599999999999436318e-01,0.000000000000000000e+00,4.221489281850870912e-01,2.642002737892448772e-01,1.967670910964558857e+02
6.699999999999425304e-01,0.000000000000000000e+00,2.496549220849307860e-01,2.833975067080942156e-01,2.047437886029112519e+02
6.799999999999414291e-01,0.000000000000000000e+00,2.325576804083842597e-01,3.034296392260033559e-01,2.124401034095241130e+02
6.899999999999403277e-01,0.000000000000000000e+00,3.802730719709107587e-01,3.241943567735332543e-01,2.197181269275255033e+02
6.999999999999392264e-01,0.000000000000000000e+00,4.444640599623668753e-01,3.451747660871542500e-01,2.264121270596768056e+02
7.099999999999381251e-01,0.000000000000000000e+00,3.984337697813241652e-01,3.669682672156844294e-01,2.342138641899112486e+02
7.199999999999370237e-01,0.000000000000000000e+00,4.418466969215425477e-01,3.877105713107705798e-01,2.434259431020452098e+02
7.299999999999359224e-01,0.000000000000000000e+00,2.735320369964535647e-01,4.110841349634858921e-01,2.520392495627793892e+02
7.399999999999348210e-01,0.000000000000000000e+00,3.690336288449600488e-01,4.359864013608283906e-01,2.599051809572490015e+02
7.499999999999337197e-01,0.000000000000000000e+00,4.312684539912158277e-01,4.607432456709740776e-01,2.669803093174158448e+02
7.599999999999326183e-01,0.000000000000000000e+00,2.513822622625511150e-01,4.816698110034097757e-01,2.738763718153405762e+02
7.699999999999315170e-01,0.000000000000000000e+00,3.493381169928452268e-01,4.866302619158000553e-01,2.799919250176155856e+02
7.799999999999304157e-01,0.000000000000000000e+00,4.233730625322134622e-01,4.760202838409196002e-01,2.854003485570230509e+02
7.899999999999293143e-01,0.000000000000000000e+00,3.081366053371106251e-01,4.577718472955457085e-01,2.914111316452068081e+02
7.999999999999282130e-01,0.000000000000000000e+00,2.437572899018015937e-01,4.385711473845742558e-01,2.987865220278471270e+02
8.099999999999271116e-01,0.000000000000000000e+00,2.993475090581249054e-01,4.216713357562630327e-01,3.060082039594420849e+02
8.199999999999260103e-01,0.000000000000000000e+00,3.661852868138260053e-01,4.176336911334675439e-01,3.130279402249835243e+02
8.299999999999249090e-01,0.000000000000000000e+00,2.427426506146095619e-01,4.094644352156209255e-01,3.199108066325781579e+02
8.399999999999238076e-01,0.000000000000000000e+00,3.012072017970275906e-01,3.966919862922821949e-01,3.265203181939254478e+02
