Time,Flux,Max_Particle_Vel,Max_K,Max_Omega
8.499999999999227063e-01,1.000000000000000000e+00,4.152309076329488979e-01,8.437500000000063005e-03,1.000000000000000000e+03
8.599999999999216049e-01,1.000000000000000000e+00,3.749248807115681537e-01,8.437500000000061270e-03,1.000000000000000000e+03
8.699999999999205036e-01,1.000000000000000000e+00,3.424413050825231286e-01,8.437500000000057801e-03,1.000000000000000000e+03
8.799999999999194022e-01,1.000000000000000000e+00,3.403931786605324805e-01,8.437500000000049127e-03,1.000000000000000000e+03
8.899999999999183009e-01,1.000000000000000000e+00,4.090864986032755612e-01,8.437500000000052597e-03,1.000000000000000000e+03
8.999999999999171996e-01,1.000000000000000000e+00,3.489224292860023113e-01,8.437500000000057801e-03,1.000000000000000000e+03
9.099999999999160982e-01,1.000000000000000000e+00,3.830616801287467510e-01,8.437500000000069944e-03,1.000000000000000000e+03
9.199999999999149969e-01,1.000000000000000000e+00,4.962743850168264692e-01,8.437500000000066475e-03,1.000000000000000000e+03
9.299999999999138955e-01,1.000000000000000000e+00,5.315633169317389717e-01,8.437500000000063005e-03,1.000000000000000000e+03
9.399999999999127942e-01,1.000000000000000000e+00,4.221431684268420748e-01,8.437500000000066475e-03,1.000000000000000000e+03
9.499999999999116929e-01,1.000000000000000000e+00,3.491335986732075347e-01,8.437500000000078618e-03,1.000000000000000000e+03
9.599999999999105915e-01,1.000000000000000000e+00,2.808347708800714160e-01,8.437500000000069944e-03,1.000000000000000000e+03
9.699999999999094902e-01,1.000000000000000000e+00,3.521382407963324357e-01,8.437500000000082087e-03,1.000000000000000000e+03
9.799999999999083888e-01,1.000000000000000000e+00,3.779358027096637596e-01,8.437500000000092495e-03,1.000000000000000000e+03
9.899999999999072875e-01,1.000000000000000000e+00,2.924440806844983420e-01,8.437500000000092495e-03,1.000000000000000000e+03
9.999999999999061862e-01,1.000000000000000000e+00,3.692135050782317518e-01,8.437500000000090761e-03,1.000000000000000000e+03
1.009999999999905196e+00,1.000000000000000000e+00,3.687424043063904366e-01,8.437500000000094230e-03,1.000000000000000000e+03
1.019999999999904094e+00,1.000000000000000000e+00,3.375239018175487660e-01,8.437500000000075148e-03,1.000000000000000000e+03
